"","timeSecs","timeMins","name","event","country2","country","medal","city","sex","year","dist","age","height","weight","gdp","pop","year1896","dist100","logpop","c_age","c_height","c_weight","c_gdp","c_pop","c_logpop","gdpbillion","c_gdpbillion","BMI","c_BMI","gdp_pop","c_gdp_pop","logdist","logdist100","logtimeSecs","logtimeMins","logBMI","c_logBMI","loggdpbillion","c_loggdpbillion","gdp_","pop_","gdpPerCap","gdpPerCap_"
"1",1621.2,27.02,"kenenisa bekele","10000M Men","Ethiopia","ETH","G","Beijing","M",2008,10000,26,165,56,7.26e+10,83200000,112,9900,18.2367579057914,0.348460642338648,-1.19326490000855,-0.883244413210369,-0.495989873143828,-0.0133476765684903,0.597697897288316,72.6,-0.495989873143828,20.5693296602388,-0.262743132722121,872.596153846154,-1.04903961400234,9.21034037197618,4.60517018598809,7.39092189475415,3.29657733253205,3.02380111491017,-0.217863100077772,4.28496492183075,-0.623575874370681,"medium","medium",872.596153846154,"low"
"2",1622.8,27.0466666666667,"sileshi sihine","10000M Men","Ethiopia","ETH","S","Beijing","M",2008,10000,25,168,58,7.26e+10,83200000,112,9900,18.2367579057914,0.0837210634190255,-0.836383526539735,-0.687339965161813,-0.495989873143828,-0.0133476765684903,0.597697897288316,72.6,-0.495989873143828,20.5498866213152,-0.27231182844259,872.596153846154,-1.04903961400234,9.21034037197618,4.60517018598809,7.39190833133229,3.29756376911019,3.02285542371608,-0.227675239033229,4.28496492183075,-0.623575874370681,"medium","medium",872.596153846154,"low"
"3",1624.1,27.0683333333333,"micah kogo","10000M Men","Kenya","KEN","B","Beijing","M",2008,10000,22,170,60,7.6e+10,39100000,112,9900,17.4816330249556,-0.710497673339841,-0.598462610893859,-0.491435517113257,-0.495072533185273,-0.351604686991928,0.142746590511668,76,-0.495072533185273,20.7612456747405,-0.168293599710748,1943.73401534527,-0.966347210479193,9.21034037197618,4.60517018598809,7.39270909518056,3.29836453295846,3.03308806009776,-0.121505222133962,4.33073334028633,-0.602605519928297,"medium","medium",1943.73401534527,"low"
"4",1638.2,27.3033333333333,"haile gebrselassie","10000M Men","Ethiopia","ETH","G","Sydney","M",2000,10000,27,165,56,4.01e+10,66500000,104,9900,18.0127125056261,0.61320022125827,-1.19326490000855,-0.883244413210369,-0.50475856392414,-0.14144046736376,0.462713936132515,40.1,-0.504758563924141,20.5693296602388,-0.262743132722121,603.007518796992,-1.06985199772626,9.21034037197618,4.60517018598809,7.4013533570815,3.3070087948594,3.02380111491017,-0.217863100077772,3.69137633431252,-0.895548634043216,"small","medium",603.007518796992,"low"
"5",1638.3,27.305,"paul tergat","10000M Men","Kenya","KEN","S","Sydney","M",2000,10000,31,182,62,5.47e+10,31500000,104,9900,17.2654981037959,1.67215853693676,0.829062882981399,-0.295531069064702,-0.500819398219754,-0.409898412144266,0.0125285731781002,54.7,-0.500819398219754,18.7175461900737,-1.17407971111743,1736.50793650794,-0.982345172224055,9.21034037197618,4.60517018598809,7.40141439782622,3.30706983560412,2.92946138286768,-1.19669695790543,4.00186370942794,-0.753288304196448,"medium","medium",1736.50793650794,"low"
"6",1639.7,27.3283333333333,"assefa mezgebu","10000M Men","Ethiopia","ETH","B","Sydney","M",2000,10000,22,175,55,4.01e+10,66500000,104,9900,18.0127125056261,-0.710497673339841,-0.00366032177916816,-0.981196637234646,-0.50475856392414,-0.14144046736376,0.462713936132515,40.1,-0.504758563924141,17.9591836734694,-1.54730018327327,603.007518796992,-1.06985199772626,9.21034037197618,4.60517018598809,7.40226857725582,3.30792401503372,2.88810160936163,-1.62583053485454,3.69137633431252,-0.895548634043216,"small","medium",603.007518796992,"low"
"7",1666.7,27.7783333333333,"khalid skah","10000M Men","Morocco","MAR","G","Barcelona","M",1992,10000,25,170,60,1.15e+11,25800000,96,9900,17.0658850498918,0.0837210634190255,-0.598462610893859,-0.491435517113257,-0.484550104248898,-0.45361870600852,-0.107735269304201,115,-0.484550104248898,20.7612456747405,-0.168293599710748,4457.36434108527,-0.772293633740527,9.21034037197618,4.60517018598809,7.41860090254813,3.32425634032603,3.03308806009776,-0.121505222133962,4.74493212836325,-0.412826285935123,"medium","medium",4457.36434108527,"low"
"8",1667.7,27.795,"richard chelimo","10000M Men","Kenya","KEN","S","Barcelona","M",1992,10000,19,163,54,4.59e+10,25000000,96,9900,17.0343863828325,-1.50471641009871,-1.43118581565443,-1.07914886125892,-0.503193689877192,-0.459754887603503,-0.126712739261914,45.9,-0.503193689877192,20.3244382551093,-0.38326397051163,1836,-0.974664332850007,9.21034037197618,4.60517018598809,7.41920071062753,3.32485614840543,3.01182401692693,-0.342132999627976,3.8264651170665,-0.833653122877792,"small","medium",1836,"low"
"9",1680.1,28.0016666666667,"addis abebe","10000M Men","Ethiopia","ETH","B","Barcelona","M",1992,10000,21,160,50,2.62e+10,51600000,96,9900,17.7590322304518,-0.975237252259463,-1.78806718912324,-1.47095775735604,-0.508508865519412,-0.255726849570318,0.309875411508275,26.2,-0.508508865519412,19.53125,-0.773623579008538,507.751937984496,-1.07720577842014,9.21034037197618,4.60517018598809,7.42660859443536,3.33226403221326,2.97201574693667,-0.755168755023808,3.26575941076705,-1.09055947436946,"small","medium",507.751937984496,"low"
"10",1667.5,27.7916666666667,"alberto cova","10000M Men","Italy","ITA","G","Los Angeles","M",1984,10000,25,176,58,1.27e+12,56900000,88,9900,17.8568058990966,0.0837210634190255,0.11530013604377,-0.687339965161813,-0.172924324210118,-0.215074646503556,0.368782566400388,1270,-0.172924324210118,18.724173553719,-1.17081812086909,22319.8594024605,0.606700333925011,9.21034037197618,4.60517018598809,7.41908077778978,3.32473621556768,2.9298153924463,-1.19302388661254,7.14677217945264,0.68765825962859,"medium","medium",22319.8594024605,"high"
