"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"45","billy mills","10000M Men",1704.4,28.4066666666667,"USA","United States",1964,"G","Tokyo","M",4.07e+12,197000000,26,180,68,10000
"46","mohamed gammoudi","10000M Men",1704.8,28.4133333333333,"TUN","Tunisia",1964,"S","Tokyo","M",1.21e+10,4460000,26,172,60,10000
"47","ron clarke","10000M Men",1705.8,28.43,"AUS","Australia",1964,"B","Tokyo","M",1.75e+11,11100000,27,183,72,10000
"48","j„É‚≥zsef kov„É‚Åcs","10000M Men",1732.4,28.8733333333333,"HUN","Hungary",1956,"S","Melbourne / Stockholm","M",7.08e+10,9880000,30,163,50,10000
"49","allan lawrence","10000M Men",1733.6,28.8933333333333,"AUS","Australia",1956,"B","Melbourne / Stockholm","M",1.22e+11,9420000,26,171,61,10000
"50","alain mimoun","10000M Men",1847.4,30.79,"FRA","France",1948,"S","London","M",3.12e+11,41200000,27,170,56,10000
"51","bertil albertsson","10000M Men",1853.6,30.8933333333333,"SWE","Sweden",1948,"B","London","M",7.31e+10,6840000,26,177,67,10000
"52","janusz kusocinski","10000M Men",1811.4,30.19,"POL","Poland",1932,"G","Los Angeles","M",9.47e+10,29000000,25,167,72,10000
"53","volmari iso-hollo","10000M Men",1812.6,30.21,"FIN","Finland",1932,"S","Los Angeles","M",1.49e+10,3500000,25,176,64,10000
"54","lauri virtanen","10000M Men",1835,30.5833333333333,"FIN","Finland",1932,"B","Los Angeles","M",1.49e+10,3500000,27,172,68,10000
"55","ville ritola","10000M Men",1823.2,30.3866666666667,"FIN","Finland",1924,"G","Paris","M",1.22e+10,3270000,28,175,66,10000
"56","edvin wide","10000M Men",1855.2,30.92,"SWE","Sweden",1924,"S","Paris","M",3.52e+10,6020000,28,170,62,10000
"57","eero berg","10000M Men",1903,31.7166666666667,"FIN","Finland",1924,"B","Paris","M",1.22e+10,3270000,26,167,58,10000
"58","hannes kolehmainen","10000M Men",1880.8,31.3466666666667,"FIN","Finland",1912,"G","Stockholm","M",1.01e+10,3000000,22,168,57.5,10000
"59","albin stenroos","10000M Men",1941.8,32.3633333333333,"FIN","Finland",1912,"B","Stockholm","M",1.01e+10,3000000,23,173,64,10000
"60","usain bolt","100M Men",9.69,0.1615,"JAM","Jamaica",2008,"G","Beijing","M",2.41e+10,2790000,21,196,95,100
"61","richard thompson","100M Men",9.89,0.164833333333333,"TTO","Trinidad and Tobago",2008,"S","Beijing","M",4.15e+10,1320000,23,188,80,100
"62","walter dix","100M Men",9.91,0.165166666666667,"USA","United States",2008,"B","Beijing","M",1.54e+13,303000000,22,175,80,100
"63","maurice greene","100M Men",9.87,0.1645,"USA","United States",2000,"G","Sydney","M",1.31e+13,282000000,26,176,80,100
"64","ato boldon","100M Men",9.99,0.1665,"TTO","Trinidad and Tobago",2000,"S","Sydney","M",2.27e+10,1270000,26,176,75,100
