"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"790","Meseret Defar Tola",2008,"F",24,159,42,"Ethiopia","ETH","Athletics Women's 5,000 metres","Bronze"
"791","Meseret Defar Tola",2012,"F",28,159,42,"Ethiopia","ETH","Athletics Women's 5,000 metres","Gold"
"792","Francis James ""Jim"" Delaney",1948,"M",27,183,93,"United States","USA","Athletics Men's Shot Put","Silver"
"793","Ronald Michael ""Ronnie"" Delany",1956,"M",21,184,75,"Ireland","IRL","Athletics Men's 1,500 metres","Gold"
"794","Jocelyn Delecour",1964,"M",29,175,67,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"795","Jocelyn Delecour",1968,"M",33,175,67,"France","FRA","Athletics Men's 4 x 100 metres Relay","Bronze"
"796","Luis Marano Dels Fournier",1980,"M",22,185,106,"Cuba","CUB","Athletics Men's Discus Throw","Bronze"
"797","William Solon ""Bill"" Dellinger",1964,"M",30,175,62,"United States","USA","Athletics Men's 5,000 metres","Bronze"
"798","Cynthia ""Janay"" DeLoach (-Soukup)",2012,"F",26,166,58,"United States","USA","Athletics Women's Long Jump","Bronze"
"799","Joseph Nathaniel ""Joe"" DeLoach, Jr.",1988,"M",21,182,76,"United States","USA","Athletics Men's 200 metres","Gold"
"800","Henry Lon mile Deloge",1900,"M",25,NA,NA,"France","FRA","Athletics Men's 1,500 metres","Silver"
"801","Henry Lon mile Deloge",1900,"M",25,NA,NA,"Racing Club de France","FRA","Athletics Men's 5,000 metres, Team","Silver"
"802","Maurice Paul Lon Delvart",1920,"M",20,NA,NA,"France","FRA","Athletics Men's 4 x 400 metres Relay","Bronze"
"803","Clarence Harrison DeMar",1924,"M",35,171,63,"United States","USA","Athletics Men's Marathon","Bronze"
"804","Mirela Krasimirova Demireva",2016,"F",26,180,58,"Bulgaria","BUL","Athletics Women's High Jump","Silver"
"805","Lashinda Monique Demus",2012,"F",29,170,60,"United States","USA","Athletics Women's 400 metres Hurdles","Silver"
"806","Leslie Jean Deniz",1984,"F",22,170,86,"United States","USA","Athletics Women's Discus Throw","Silver"
"807","August Georg ""Gus"" Desch",1920,"M",21,170,61,"United States","USA","Athletics Men's 400 metres Hurdles","Bronze"
"808","Jean Catherine Desforges (-Pickering)",1952,"F",23,171,64,"Great Britain","GBR","Athletics Women's 4 x 100 metres Relay","Bronze"
"809","Joseph-tienne Desmarteau (Birtz-)",1904,"M",31,185,94,"Canada","CAN","Athletics Men's 56-pound Weight Throw","Gold"
"810","Michael Aloysius ""Mike"" Devaney",1920,"M",28,178,68,"United States","USA","Athletics Men's 3,000 metres, Team","Gold"
"811","Andr mile Devaux",1920,"M",25,NA,NA,"France","FRA","Athletics Men's 4 x 400 metres Relay","Bronze"
"812","Yolanda Gail L. Devers (-Roberts)",1992,"F",25,160,55,"United States","USA","Athletics Women's 100 metres","Gold"
"813","Yolanda Gail L. Devers (-Roberts)",1996,"F",29,160,55,"United States","USA","Athletics Women's 100 metres","Gold"
"814","Yolanda Gail L. Devers (-Roberts)",1996,"F",29,160,55,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"815","Khrysopigi ""Pigi"" Devetzi",2004,"F",28,170,59,"Greece","GRE","Athletics Women's Triple Jump","Silver"
"816","Khrysopigi ""Pigi"" Devetzi",2008,"F",32,170,59,"Greece","GRE","Athletics Women's Triple Jump","Bronze"
"817","Asnoldo Vicente Devonish Romero",1952,"M",20,187,70,"Venezuela","VEN","Athletics Men's Triple Jump","Bronze"
"818","Marlon Ronald Devonish",2004,"M",28,183,76,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay","Gold"
"819","Vadim Anatolyevich Devyatovsky",2008,"M",31,192,115,"Belarus","BLR","Athletics Men's Hammer Throw","Silver"
"820","John Riegel DeWitt",1904,"M",22,NA,NA,"United States","USA","Athletics Men's Hammer Throw","Silver"
"821","El Hadji Amadou Dia B",1988,"M",29,190,72,"Senegal","SEN","Athletics Men's 400 metres Hurdles","Silver"
"822","Themistoklis Diakidis",1906,"M",23,NA,NA,"Greece","GRE","Athletics Men's High Jump","Bronze"
"823","Emily Jane Diamond",2016,"F",25,173,58,"Great Britain","GBR","Athletics Women's 4 x 400 metres Relay","Bronze"
"824","Ejegayehu Dibaba Keneni",2004,"F",22,162,47,"Ethiopia","ETH","Athletics Women's 10,000 metres","Silver"
"825","Genzebe Dibaba Keneni",2016,"F",25,168,52,"Ethiopia","ETH","Athletics Women's 1,500 metres","Silver"
"826","Mare Dibaba Hurssa (-Ibrahimova-)",2016,"F",26,156,45,"Ethiopia","ETH","Athletics Women's Marathon","Bronze"
"827","Tirunesh Dibaba Keneni",2004,"F",19,166,50,"Ethiopia","ETH","Athletics Women's 5,000 metres","Bronze"
"828","Tirunesh Dibaba Keneni",2008,"F",23,166,50,"Ethiopia","ETH","Athletics Women's 5,000 metres","Gold"
"829","Tirunesh Dibaba Keneni",2008,"F",23,166,50,"Ethiopia","ETH","Athletics Women's 10,000 metres","Gold"
"830","Tirunesh Dibaba Keneni",2012,"F",27,166,50,"Ethiopia","ETH","Athletics Women's 5,000 metres","Bronze"
"831","Tirunesh Dibaba Keneni",2012,"F",27,166,50,"Ethiopia","ETH","Athletics Women's 10,000 metres","Gold"
"832","Tirunesh Dibaba Keneni",2016,"F",31,166,50,"Ethiopia","ETH","Athletics Women's 10,000 metres","Bronze"
"833","Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",1932,"F",21,169,57,"United States","USA","Athletics Women's 80 metres Hurdles","Gold"
"834","Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",1932,"F",21,169,57,"United States","USA","Athletics Women's High Jump","Silver"
"835","Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",1932,"F",21,169,57,"United States","USA","Athletics Women's Javelin Throw","Gold"
"836","Brian Lee Diemer",1984,"M",22,176,64,"United States","USA","Athletics Men's 3,000 metres Steeplechase","Bronze"
"837","William Harrison Dillard",1948,"M",25,178,69,"United States","USA","Athletics Men's 100 metres","Gold"
"838","William Harrison Dillard",1948,"M",25,178,69,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"839","William Harrison Dillard",1952,"M",29,178,69,"United States","USA","Athletics Men's 110 metres Hurdles","Gold"
"840","William Harrison Dillard",1952,"M",29,178,69,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"841","James Leo ""Jim"" Dillion",1952,"M",23,188,99,"United States","USA","Athletics Men's Discus Throw","Bronze"
"842","John Ivor Disley",1952,"M",23,180,71,"Great Britain","GBR","Athletics Men's 3,000 metres Steeplechase","Bronze"
"843","Constantina Di-Tomescu",2008,"F",38,160,48,"Romania","ROU","Athletics Women's Marathon","Gold"
"844","Walter Dix",2008,"M",22,175,80,"United States","USA","Athletics Men's 100 metres","Bronze"
"845","Walter Dix",2008,"M",22,175,80,"United States","USA","Athletics Men's 200 metres","Bronze"
"846","Craig Kline Dixon",1948,"M",22,188,72,"United States","USA","Athletics Men's 110 metres Hurdles","Bronze"
"847","Diamond Brittany Dixon",2012,"F",20,168,51,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"848","Diane Lynn Dixon (-Trouse)",1984,"F",19,165,54,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"849","Diane Lynn Dixon (-Trouse)",1988,"F",23,165,54,"United States","USA","Athletics Women's 4 x 400 metres Relay","Silver"
"850","Rodney Phillip ""Rod"" Dixon",1972,"M",22,186,70,"New Zealand","NZL","Athletics Men's 1,500 metres","Bronze"
"851","Norbert Dobeleit",1988,"M",24,185,82,"West Germany","FRG","Athletics Men's 4 x 400 metres Relay","Bronze"
"852","Nataliya Volodymyrivna Dobrynska",2008,"F",26,182,70,"Ukraine","UKR","Athletics Women's Heptathlon","Gold"
"853","James F. ""Jim"" Doehring",1992,"M",30,183,120,"United States","USA","Athletics Men's Shot Put","Silver"
"854","John Kenneth ""Ken"" Doherty",1928,"M",23,185,75,"United States","USA","Athletics Men's Decathlon","Bronze"
"855","Josef Doleal",1952,"M",31,173,67,"Czechoslovakia","TCH","Athletics Men's 50 kilometres Walk","Silver"
"856","Lucien L. Dolqus",1924,"M",19,NA,NA,"France","FRA","Athletics Men's Cross-Country, Team","Bronze"
"857","Mildred Jeanette Dolson (-Cavill)",1936,"F",17,NA,NA,"Canada","CAN","Athletics Women's 4 x 100 metres Relay","Bronze"
"858","Svetlana Ivanovna ""Esfir"" Dolzhenko-Krachevskaya",1980,"F",35,173,83,"Soviet Union","URS","Athletics Women's Shot Put","Silver"
"859","Lutz Dombrowski",1980,"M",21,187,87,"East Germany","GDR","Athletics Men's Long Jump","Gold"
"860","Alfred Dompert",1936,"M",21,174,60,"Germany","GER","Athletics Men's 3,000 metres Steeplechase","Bronze"
"861","James Joseph ""Jim"" Donahue",1912,"M",27,172,61,"United States","USA","Athletics Men's Pentathlon","Silver"
"862","Ursula ""Ulla"" Donath (Jurewitz-, -Brehme-)",1960,"F",29,166,55,"Germany","GER","Athletics Women's 800 metres","Bronze"
"863","Fabrizio Donato",2012,"M",35,189,83,"Italy","ITA","Athletics Men's Triple Jump","Bronze"
"864","Dong Bin",2016,"M",27,180,74,"China","CHN","Athletics Men's Triple Jump","Bronze"
"865","Yordanka Lyubchova Donkova",1988,"F",26,175,67,"Bulgaria","BUL","Athletics Women's 100 metres Hurdles","Gold"
"866","Yordanka Lyubchova Donkova",1992,"F",30,175,67,"Bulgaria","BUL","Athletics Women's 100 metres Hurdles","Bronze"
"867","Giuseppe ""Pino"" Dordoni",1952,"M",26,183,74,"Italy","ITA","Athletics Men's 50 kilometres Walk","Gold"
"868","Gabriella Dorio (-Spigarolo)",1984,"F",27,168,55,"Italy","ITA","Athletics Women's 1,500 metres","Gold"
"869","Mikhail M. Dorizas",1906,"M",20,177,106,"Greece","GRE","Athletics Men's Stone Throw","Bronze"
"870","Mikhail M. Dorizas",1908,"M",22,177,106,"Greece","GRE","Athletics Men's Javelin Throw, Freestyle","Silver"
"871","Juana Katrin Drre-Heinig",1988,"F",26,170,57,"East Germany","GDR","Athletics Women's Marathon","Bronze"
"872","Ralph Douglas Doubell",1968,"M",23,180,65,"Australia","AUS","Athletics Men's 800 metres","Gold"
"873","Frantiek Douda",1932,"M",23,192,96,"Czechoslovakia","TCH","Athletics Men's Shot Put","Bronze"
"874","Herbert Paul ""Herb"" Douglas, Jr.",1948,"M",26,175,67,"United States","USA","Athletics Men's Long Jump","Bronze"
"875","Sandra Marie Douglas",1992,"F",25,162,55,"Great Britain","GBR","Athletics Women's 4 x 400 metres Relay","Bronze"
"876","Stacy Rene Dragila (Mikaelsen-, -Waltz)",2000,"F",29,172,62,"United States","USA","Athletics Women's Pole Vault","Gold"
"877","Foy Draper",1936,"M",22,165,54,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"878","Otis Paul Drayton",1964,"M",25,183,73,"United States","USA","Athletics Men's 200 metres","Silver"
"879","Otis Paul Drayton",1964,"M",25,183,73,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"880","Heike Gabriela Drechsler (Daute-)",1988,"F",23,181,68,"East Germany","GDR","Athletics Women's 100 metres","Bronze"
"881","Heike Gabriela Drechsler (Daute-)",1988,"F",23,181,68,"East Germany","GDR","Athletics Women's 200 metres","Bronze"
"882","Heike Gabriela Drechsler (Daute-)",1988,"F",23,181,68,"East Germany","GDR","Athletics Women's Long Jump","Silver"
"883","Heike Gabriela Drechsler (Daute-)",1992,"F",27,181,68,"Germany","GER","Athletics Women's Long Jump","Gold"
"884","Heike Gabriela Drechsler (Daute-)",2000,"F",35,181,68,"Germany","GER","Athletics Women's Long Jump","Gold"
"885","Joseph tienne Drher",1908,"M",23,NA,NA,"France","FRA","Athletics Men's 3 mile, Team","Bronze"
"886","Jrg Drehmel",1972,"M",27,187,83,"East Germany","GDR","Athletics Men's Triple Jump","Silver"
"887","Ivan Chandler Dresser",1920,"M",23,180,68,"United States","USA","Athletics Men's 3,000 metres, Team","Gold"
"888","William Herbert ""Bill"" Droegemueller",1928,"M",21,178,64,"United States","USA","Athletics Men's Pole Vault","Silver"
"889","Margitta Droese-Pufe (Ludewig-)",1980,"F",27,180,83,"East Germany","GDR","Athletics Women's Shot Put","Bronze"
"890","Deena Michelle Drossin-Kastor",2004,"F",31,163,47,"United States","USA","Athletics Women's Marathon","Bronze"
"891","Derek Drouin",2012,"M",22,196,83,"Canada","CAN","Athletics Men's High Jump","Bronze"
"892","Derek Drouin",2016,"M",26,196,83,"Canada","CAN","Athletics Men's High Jump","Gold"
"893","Jonathan A. ""Jon"" Drummond",1996,"M",27,175,75,"United States","USA","Athletics Men's 4 x 100 metres Relay","Silver"
"894","Jonathan A. ""Jon"" Drummond",2000,"M",32,175,75,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"895","Guy Drut",1972,"M",21,188,74,"France","FRA","Athletics Men's 110 metres Hurdles","Silver"
"896","Guy Drut",1976,"M",25,188,74,"France","FRA","Athletics Men's 110 metres Hurdles","Gold"
"897","Vladimir Vladimirovich Dubrovshchik",1996,"M",24,191,115,"Belarus","BLR","Athletics Men's Discus Throw","Silver"
"898","Marian Andrzej Dudziak",1964,"M",23,181,81,"Poland","POL","Athletics Men's 4 x 100 metres Relay","Silver"
"899","Gayle Albert Dull",1908,"M",24,172,69,"United States","USA","Athletics Men's 3 mile, Team","Silver"
"900","Charles Everett ""Charlie"" Dumas",1956,"M",19,185,81,"United States","USA","Athletics Men's High Jump","Gold"
"901","Nino Dumbadze (-Diachk'ovi)",1952,"F",33,178,82,"Soviet Union","URS","Athletics Women's Discus Throw","Bronze"
"902","James Henry ""Jim"" Duncan",1912,"M",24,178,86,"United States","USA","Athletics Men's Discus Throw","Bronze"
"903","John Vinzenz Andrew de Villiers ""Vincent"" Duncker",1906,"M",21,184,77,"Germany","GER","Athletics Men's 110 metres Hurdles","Bronze"
"904","Leszek Ryszard ""Lech"" Dunecki",1980,"M",23,180,73,"Poland","POL","Athletics Men's 4 x 100 metres Relay","Silver"
"905","Fitzroy Junior Dunkley",2016,"M",23,195,79,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Silver"
"906","Gordon Glover Dunn",1936,"M",24,193,110,"United States","USA","Athletics Men's Discus Throw","Silver"
"907","Lon Dupont",1906,"M",24,NA,NA,"Belgium","BEL","Athletics Men's Standing High Jump","Silver"
"908","Maryvonne Dupureur (Samson-)",1964,"F",27,167,58,"France","FRA","Athletics Women's 800 metres","Silver"
"909","Charles Edward Dvorak",1904,"M",25,NA,NA,"United States","USA","Athletics Men's Pole Vault","Gold"
"910","Tom Dvok",1996,"M",24,186,90,"Czech Republic","CZE","Athletics Men's Decathlon","Bronze"
"911","Patrick ""Pat"" Dwyer",2004,"M",26,186,81,"Australia","AUS","Athletics Men's 4 x 400 metres Relay","Silver"
"912","Hector Monroe ""Hec"" Dyer",1932,"M",22,188,75,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"913","Satymkul Dzhumanazarov",1980,"M",28,168,56,"Soviet Union","URS","Athletics Men's Marathon","Bronze"
"914","Liudmyla Stanislavivna Dzhyhalova",1988,"F",26,178,64,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay","Gold"
"915","Liudmyla Stanislavivna Dzhyhalova",1992,"F",30,178,64,"Unified Team","EUN","Athletics Women's 4 x 400 metres Relay","Gold"
"916","Benjamin Bangs ""Ben"" Eastman",1932,"M",21,185,70,"United States","USA","Athletics Men's 400 metres","Silver"
"917","Ashton James Eaton",2012,"M",24,186,81,"United States","USA","Athletics Men's Decathlon","Gold"
"918","Ashton James Eaton",2016,"M",28,186,81,"United States","USA","Athletics Men's Decathlon","Gold"
"919","Wolrad Eberle",1932,"M",24,179,77,"Germany","GER","Athletics Men's Decathlon","Bronze"
"920","Earl William Eby",1920,"M",25,179,60,"United States","USA","Athletics Men's 800 metres","Silver"
"921","Sheila Ann Echols (-Williams, -Gross)",1988,"F",23,165,52,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"922","Brbel Eckert-Wckel",1976,"F",21,174,62,"East Germany","GDR","Athletics Women's 200 metres","Gold"
"923","Brbel Eckert-Wckel",1976,"F",21,174,62,"East Germany","GDR","Athletics Women's 4 x 100 metres Relay","Gold"
"924","Brbel Eckert-Wckel",1980,"F",25,174,62,"East Germany","GDR","Athletics Women's 200 metres","Gold"
"925","Brbel Eckert-Wckel",1980,"F",25,174,62,"East Germany","GDR","Athletics Women's 4 x 100 metres Relay","Gold"
"926","Vincent Franz Harry Edward",1920,"M",22,NA,NA,"Great Britain","GBR","Athletics Men's 100 metres","Bronze"
"927","Vincent Franz Harry Edward",1920,"M",22,NA,NA,"Great Britain","GBR","Athletics Men's 200 metres","Bronze"
"928","Jonathan David Edwards",1996,"M",30,182,73,"Great Britain","GBR","Athletics Men's Triple Jump","Silver"
"929","Jonathan David Edwards",2000,"M",34,182,73,"Great Britain","GBR","Athletics Men's Triple Jump","Gold"
"930","Norman Edwards",1984,"M",21,185,82,"Jamaica","JAM","Athletics Men's 4 x 100 metres Relay","Silver"
"931","Philip Aron ""Phil"" Edwards",1928,"M",20,176,64,"Canada","CAN","Athletics Men's 4 x 400 metres Relay","Bronze"
"932","Philip Aron ""Phil"" Edwards",1932,"M",24,176,64,"Canada","CAN","Athletics Men's 800 metres","Bronze"
"933","Philip Aron ""Phil"" Edwards",1932,"M",24,176,64,"Canada","CAN","Athletics Men's 1,500 metres","Bronze"
"934","Philip Aron ""Phil"" Edwards",1932,"M",24,176,64,"Canada","CAN","Athletics Men's 4 x 400 metres Relay","Bronze"
"935","Philip Aron ""Phil"" Edwards",1936,"M",28,176,64,"Canada","CAN","Athletics Men's 800 metres","Bronze"
"936","Torri Mechelle Edwards",2000,"F",23,163,57,"United States","USA","Athletics Women's 4 x 100 metres Relay","Bronze"
"937","Aaron Egbele",2004,"M",25,181,79,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Bronze"
"938","Innocent Ejima Egbunike",1984,"M",22,174,65,"Nigeria","NGR","Athletics Men's 4 x 400 metres Relay","Bronze"
"939","Klaus Johannes Ehl",1972,"M",23,188,77,"West Germany","FRG","Athletics Men's 4 x 100 metres Relay","Bronze"
"940","Anneliese Ehrhardt (Jahns-)",1972,"F",22,166,58,"East Germany","GDR","Athletics Women's 100 metres Hurdles","Gold"
"941","Hans Eicke",1908,"M",23,169,58,"Germany","GER","Athletics Men's 1,600 metres Medley Relay","Silver"
"942","Vilhjlmur Einarsson",1956,"M",22,184,82,"Iceland","ISL","Athletics Men's Triple Jump","Silver"
"943","John Lincoln Eisele",1908,"M",24,180,69,"United States","USA","Athletics Men's 3,200 metres Steeplechase","Bronze"
"944","John Lincoln Eisele",1908,"M",24,180,69,"United States","USA","Athletics Men's 3 mile, Team","Silver"
"945","John Wicktor Eke (Jonsson-)",1912,"M",26,171,64,"Sweden","SWE","Athletics Men's Cross-Country, Individual","Bronze"
"946","John Wicktor Eke (Jonsson-)",1912,"M",26,171,64,"Sweden","SWE","Athletics Men's Cross-Country, Team","Gold"
"947","Bo Daniel Ekelund",1920,"M",25,187,75,"Sweden","SWE","Athletics Men's High Jump","Bronze"
"948","Hilding Viktor Ekman",1920,"M",27,180,70,"Sweden","SWE","Athletics Men's Cross-Country, Team","Bronze"
"949","Hicham El Guerrouj",2000,"M",25,176,58,"Morocco","MAR","Athletics Men's 1,500 metres","Silver"
"950","Hicham El Guerrouj",2004,"M",29,176,58,"Morocco","MAR","Athletics Men's 1,500 metres","Gold"
"951","Hicham El Guerrouj",2004,"M",29,176,58,"Morocco","MAR","Athletics Men's 5,000 metres","Gold"
"952","Ahmed Muhammad Boughera El Ouafi",1928,"M",29,NA,NA,"France","FRA","Athletics Men's Marathon","Gold"
"953","Rachid El-Basir",1992,"M",23,180,61,"Morocco","MAR","Athletics Men's 1,500 metres","Silver"
"954","Nawal El-Moutawakel (-Bennis)",1984,"F",22,162,50,"Morocco","MAR","Athletics Women's 400 metres Hurdles","Gold"
"955","Kenth Enar Eldebrink",1984,"M",29,190,95,"Sweden","SWE","Athletics Men's Javelin Throw","Bronze"
"956","Marlene Elejarde Daz",1968,"F",17,172,65,"Cuba","CUB","Athletics Women's 4 x 100 metres Relay","Silver"
"957","Marlene Elejarde Daz",1972,"F",21,172,65,"Cuba","CUB","Athletics Women's 4 x 100 metres Relay","Bronze"
"958","Herbert James ""Herb"" Elliott",1960,"M",22,181,68,"Australia","AUS","Athletics Men's 1,500 metres","Gold"
"959","Peter Elliott",1988,"M",25,181,67,"Great Britain","GBR","Athletics Men's 1,500 metres","Silver"
"960","Taylor Ellis-Watson",2016,"F",23,183,65,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"961","Fritz Erik Elmster (Pettersson-)",1948,"M",28,NA,NA,"Sweden","SWE","Athletics Men's 3,000 metres Steeplechase","Silver"
"962","Uchenna Emedolu",2004,"M",27,183,87,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Bronze"
"963","Kirsten Emmelmann (Siemon-)",1988,"F",27,173,63,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Bronze"
"964","Schuyler Colfax ""Sky"" Enck",1924,"M",24,178,73,"United States","USA","Athletics Men's 800 metres","Bronze"
"965","Nils Erik Engdahl",1920,"M",21,165,57,"Sweden","SWE","Athletics Men's 400 metres","Bronze"
"966","Nils Erik Engdahl",1924,"M",25,165,57,"Sweden","SWE","Athletics Men's 4 x 400 metres Relay","Silver"
"967","Hermann Engelhard",1928,"M",24,176,65,"Germany","GER","Athletics Men's 800 metres","Bronze"
"968","Hermann Engelhard",1928,"M",24,176,65,"Germany","GER","Athletics Men's 4 x 400 metres Relay","Silver"
"969","Frederick William ""Fred"" Engelhardt",1904,"M",25,NA,NA,"United States","USA","Athletics Men's Triple Jump","Silver"
"970","Jessica Phyllis Ennis-Hill",2012,"F",26,165,57,"Great Britain","GBR","Athletics Women's Heptathlon","Gold"
"971","Jessica Phyllis Ennis-Hill",2016,"F",30,165,57,"Great Britain","GBR","Athletics Women's Heptathlon","Silver"
"972","Paul Ereng",1988,"M",21,188,69,"Kenya","KEN","Athletics Men's 800 metres","Gold"
"973","Knut Henry Eriksson",1948,"M",28,184,73,"Sweden","SWE","Athletics Men's 1,500 metres","Gold"
"974","Jalmari Johannes ""Lauri"" Eskola",1912,"M",25,NA,NA,"Finland","FIN","Athletics Men's Cross-Country, Team","Silver"
"975","Robert Esmie",1996,"M",24,175,64,"Canada","CAN","Athletics Men's 4 x 100 metres Relay","Gold"
"976","Giovanni Evangelisti",1984,"M",22,179,70,"Italy","ITA","Athletics Men's Long Jump","Bronze"
"977","Dwayne Eugene Evans",1976,"M",17,183,66,"United States","USA","Athletics Men's 200 metres","Bronze"
"978","Lee Edward Evans",1968,"M",21,180,78,"United States","USA","Athletics Men's 400 metres","Gold"
"979","Lee Edward Evans",1968,"M",21,180,78,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"980","Thomas ""Tom"" Evenson",1932,"M",22,170,60,"Great Britain","GBR","Athletics Men's 3,000 metres Steeplechase","Silver"
"981","Daniel Joseph ""Danny Joe"" Everett",1988,"M",21,187,64,"United States","USA","Athletics Men's 400 metres","Bronze"
"982","Daniel Joseph ""Danny Joe"" Everett",1988,"M",21,187,64,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"983","Sabine Christine Everts (-Thomaskamp)",1984,"F",23,169,56,"West Germany","FRG","Athletics Women's Heptathlon","Bronze"
"984","Nelson vora",2008,"M",24,183,76,"Portugal","POR","Athletics Men's Triple Jump","Gold"
"985","Henry Norwood ""Barney"" Ewell",1948,"M",30,180,71,"United States","USA","Athletics Men's 100 metres","Silver"
"986","Henry Norwood ""Barney"" Ewell",1948,"M",30,180,71,"United States","USA","Athletics Men's 200 metres","Silver"
"987","Henry Norwood ""Barney"" Ewell",1948,"M",30,180,71,"United States","USA","Athletics Men's 4 x 100 metres Relay","Gold"
"988","Raymond Clarence ""Ray"" Ewry",1900,"M",26,185,79,"United States","USA","Athletics Men's Standing High Jump","Gold"
"989","Raymond Clarence ""Ray"" Ewry",1900,"M",26,185,79,"United States","USA","Athletics Men's Standing Long Jump","Gold"
"990","Raymond Clarence ""Ray"" Ewry",1900,"M",26,185,79,"United States","USA","Athletics Men's Standing Triple Jump","Gold"
"991","Raymond Clarence ""Ray"" Ewry",1904,"M",30,185,79,"United States","USA","Athletics Men's Standing High Jump","Gold"
"992","Raymond Clarence ""Ray"" Ewry",1904,"M",30,185,79,"United States","USA","Athletics Men's Standing Long Jump","Gold"
"993","Raymond Clarence ""Ray"" Ewry",1904,"M",30,185,79,"United States","USA","Athletics Men's Standing Triple Jump","Gold"
"994","Raymond Clarence ""Ray"" Ewry",1906,"M",32,185,79,"United States","USA","Athletics Men's Standing High Jump","Gold"
"995","Raymond Clarence ""Ray"" Ewry",1906,"M",32,185,79,"United States","USA","Athletics Men's Standing Long Jump","Gold"
"996","Raymond Clarence ""Ray"" Ewry",1908,"M",34,185,79,"United States","USA","Athletics Men's Standing High Jump","Gold"
"997","Raymond Clarence ""Ray"" Ewry",1908,"M",34,185,79,"United States","USA","Athletics Men's Standing Long Jump","Gold"
"998","Davidson Ezinwa",1992,"M",20,184,82,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Silver"
"999","Osmond Ezinwa",1992,"M",20,182,79,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Silver"
"1000","Ali Ezzine",2000,"M",22,175,57,"Morocco","MAR","Athletics Men's 3,000 metres Steeplechase","Bronze"
"1001","Simone Facey",2016,"F",31,162,53,"Jamaica","JAM","Athletics Women's 4 x 100 metres Relay","Silver"
"1002","Aigars Fadejevs",2000,"M",24,175,69,"Latvia","LAT","Athletics Men's 50 kilometres Walk","Silver"
"1003","August Oliver ""Gus"" Fager (Fagerstrm-)",1924,"M",32,178,61,"United States","USA","Athletics Men's Cross-Country, Team","Silver"
"1004","Aeriwentha Mae Faggs (-Starr)",1952,"F",20,158,50,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"1005","Aeriwentha Mae Faggs (-Starr)",1956,"F",24,158,50,"United States","USA","Athletics Women's 4 x 100 metres Relay","Bronze"
"1006","Pierre Alexis Louis Failliot",1912,"M",23,NA,NA,"France","FRA","Athletics Men's 4 x 400 metres Relay","Silver"
"1007","Hildegard Falck (Janze-, -Kimmich)",1972,"F",23,173,58,"West Germany","FRG","Athletics Women's 800 metres","Gold"
"1008","Hildegard Falck (Janze-, -Kimmich)",1972,"F",23,173,58,"West Germany","FRG","Athletics Women's 4 x 400 metres Relay","Bronze"
"1009","Mohamed Muktar Jama ""Mo"" Farah",2012,"M",29,175,58,"Great Britain","GBR","Athletics Men's 5,000 metres","Gold"
"1010","Mohamed Muktar Jama ""Mo"" Farah",2012,"M",29,175,58,"Great Britain","GBR","Athletics Men's 10,000 metres","Gold"
"1011","Mohamed Muktar Jama ""Mo"" Farah",2016,"M",33,175,58,"Great Britain","GBR","Athletics Men's 5,000 metres","Gold"
"1012","Mohamed Muktar Jama ""Mo"" Farah",2016,"M",33,175,58,"Great Britain","GBR","Athletics Men's 10,000 metres","Gold"
"1013","Sandra Marie Farmer-Patrick (Miller-)",1992,"F",29,173,63,"United States","USA","Athletics Women's 400 metres Hurdles","Silver"
"1014","Thomas Francis ""Tom"" Farrell",1968,"M",24,172,64,"United States","USA","Athletics Men's 800 metres","Bronze"
"1015","Ernst Robert Efraim Fast",1900,"M",19,NA,NA,"Sweden","SWE","Athletics Men's Marathon","Bronze"
"1016","Olusoji Adetokumbo Fasuba",2004,"M",20,175,78,"Nigeria","NGR","Athletics Men's 4 x 100 metres Relay","Bronze"
