"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event","Medal"
"2973","Richard Nicholson ""Dick"" Ripley",1924,"M",22,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"2974","Viljo Eino ""Ville"" Ritola (Koukkari-)",1924,"M",28,175,66,"Finland","FIN","Athletics Men's 5,000 metres","Silver"
"2975","Viljo Eino ""Ville"" Ritola (Koukkari-)",1924,"M",28,175,66,"Finland","FIN","Athletics Men's 10,000 metres","Gold"
"2976","Viljo Eino ""Ville"" Ritola (Koukkari-)",1924,"M",28,175,66,"Finland","FIN","Athletics Men's 3,000 metres Steeplechase","Gold"
"2977","Viljo Eino ""Ville"" Ritola (Koukkari-)",1924,"M",28,175,66,"Finland","FIN","Athletics Men's 3,000 metres, Team","Gold"
"2978","Viljo Eino ""Ville"" Ritola (Koukkari-)",1924,"M",28,175,66,"Finland","FIN","Athletics Men's Cross-Country, Individual","Silver"
"2979","Viljo Eino ""Ville"" Ritola (Koukkari-)",1924,"M",28,175,66,"Finland","FIN","Athletics Men's Cross-Country, Team","Gold"
"2980","Viljo Eino ""Ville"" Ritola (Koukkari-)",1928,"M",32,175,66,"Finland","FIN","Athletics Men's 5,000 metres","Gold"
"2981","Viljo Eino ""Ville"" Ritola (Koukkari-)",1928,"M",32,175,66,"Finland","FIN","Athletics Men's 10,000 metres","Silver"
"2982","Dorothy Louise Ritter",1988,"F",30,178,59,"United States","USA","Athletics Women's High Jump","Gold"
"2983","Fatuma Roba",1996,"F",22,160,49,"Ethiopia","ETH","Athletics Women's Marathon","Gold"
"2984","Daphne Lilian Evelyn Robb-Hasenjger",1952,"F",23,165,59,"South Africa","RSA","Athletics Women's 100 metres","Silver"
"2985","Irvin ""Bo"" Roberson",1960,"M",25,185,81,"United States","USA","Athletics Men's Long Jump","Silver"
"2986","Mlina Robert-Michon",2016,"F",37,180,85,"France","FRA","Athletics Women's Discus Throw","Silver"
"2987","William ""Bill"" Roberts",1936,"M",24,173,70,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Gold"
"2988","David Luther ""Dave"" Roberts",1976,"M",24,188,81,"United States","USA","Athletics Men's Pole Vault","Bronze"
"2989","Edwin Anthony Roberts",1964,"M",23,173,68,"Trinidad and Tobago","TTO","Athletics Men's 200 metres","Bronze"
"2990","Edwin Anthony Roberts",1964,"M",23,173,68,"Trinidad and Tobago","TTO","Athletics Men's 4 x 400 metres Relay","Bronze"
"2991","Gil Roberts",2016,"M",27,188,82,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"2992","Arthur James Robertson",1908,"M",29,NA,NA,"Great Britain","GBR","Athletics Men's 3,200 metres Steeplechase","Silver"
"2993","Arthur James Robertson",1908,"M",29,NA,NA,"Great Britain","GBR","Athletics Men's 3 mile, Team","Gold"
"2994","Lawson Robertson",1904,"M",20,183,68,"United States","USA","Athletics Men's Standing High Jump","Bronze"
"2995","Lawson Robertson",1906,"M",22,183,68,"United States","USA","Athletics Men's Standing High Jump","Silver"
"2996","Lawson Robertson",1906,"M",22,183,68,"United States","USA","Athletics Men's Standing Long Jump","Bronze"
"2997","Clarence Earl ""Arnie"" Robinson, Jr.",1972,"M",24,188,74,"United States","USA","Athletics Men's Long Jump","Bronze"
"2998","Clarence Earl ""Arnie"" Robinson, Jr.",1976,"M",28,188,74,"United States","USA","Athletics Men's Long Jump","Gold"
"2999","Elizabeth M. ""Betty"" Robinson (-Schwartz)",1928,"F",16,167,57,"United States","USA","Athletics Women's 100 metres","Gold"
"3000","Elizabeth M. ""Betty"" Robinson (-Schwartz)",1928,"F",16,167,57,"United States","USA","Athletics Women's 4 x 100 metres Relay","Silver"
"3001","Elizabeth M. ""Betty"" Robinson (-Schwartz)",1936,"F",24,167,57,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"3002","Garth Barrington Robinson",1996,"M",25,175,75,"Jamaica","JAM","Athletics Men's 4 x 400 metres Relay","Bronze"
"3003","Matthew MacKenzie ""Mack"" Robinson",1936,"M",22,186,77,"United States","USA","Athletics Men's 200 metres","Silver"
"3004","Moushaumi Robinson",2004,"F",23,170,59,"United States","USA","Athletics Women's 4 x 400 metres Relay","Gold"
"3005","Sidney John Robinson",1900,"M",23,NA,NA,"Great Britain","GBR","Athletics Men's 2,500 metres Steeplechase","Silver"
"3006","Sidney John Robinson",1900,"M",23,NA,NA,"Great Britain","GBR","Athletics Men's 4,000 metres Steeplechase","Bronze"
"3007","Sidney John Robinson",1900,"M",23,NA,NA,"Amateur Athletic Association","GBR","Athletics Men's 5,000 metres, Team","Gold"
"3008","Kevin Bernard Robinzine",1988,"M",22,178,64,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"3009","Dayron Robles Planes",2008,"M",21,191,80,"Cuba","CUB","Athletics Men's 110 metres Hurdles","Gold"
"3010","Andrew Rock",2004,"M",22,185,79,"United States","USA","Athletics Men's 4 x 400 metres Relay","Gold"
"3011","Vebjrn Rodal",1996,"M",23,188,78,"Norway","NOR","Athletics Men's 800 metres","Gold"
"3012","Brendon Rodney",2016,"M",24,195,80,"Canada","CAN","Athletics Men's 4 x 100 metres Relay","Bronze"
"3013","Gaston Roelants",1964,"M",27,174,67,"Belgium","BEL","Athletics Men's 3,000 metres Steeplechase","Gold"
"3014","Lyudmila Vasilyevna Rogachova",1992,"F",25,166,46,"Unified Team","EUN","Athletics Women's 1,500 metres","Silver"
"3015","Annette Joan Rogers (-Kelly)",1932,"F",18,162,50,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"3016","Annette Joan Rogers (-Kelly)",1936,"F",22,162,50,"United States","USA","Athletics Women's 4 x 100 metres Relay","Gold"
"3017","Anna Rogowska",2004,"F",23,171,55,"Poland","POL","Athletics Women's Pole Vault","Bronze"
"3018","Brigitte Rohde (-Khn)",1976,"F",21,171,65,"East Germany","GDR","Athletics Women's 4 x 400 metres Relay","Gold"
"3019","Uta Rohlnder (-Fromm)",1996,"F",27,173,60,"Germany","GER","Athletics Women's 4 x 400 metres Relay","Bronze"
"3020","Thomas Rhler",2016,"M",24,192,92,"Germany","GER","Athletics Men's Javelin Throw","Gold"
"3021","Yulimar del Valle Rojas Rodrguez",2016,"F",20,192,72,"Venezuela","VEN","Athletics Women's Triple Jump","Silver"
"3022","Antal Rka",1952,"M",25,NA,NA,"Hungary","HUN","Athletics Men's 50 kilometres Walk","Bronze"
"3023","Brianna Rollins",2016,"F",24,165,59,"United States","USA","Athletics Women's 100 metres Hurdles","Gold"
"3024","Yelena Nikolayevna Romanova (Malykina-)",1992,"F",29,163,51,"Unified Team","EUN","Athletics Women's 3,000 metres","Gold"
"3025","Nina Apollonovna Romashkova-Ponomaryova",1952,"F",23,173,84,"Soviet Union","URS","Athletics Women's Discus Throw","Gold"
"3026","Nina Apollonovna Romashkova-Ponomaryova",1956,"F",27,173,84,"Soviet Union","URS","Athletics Women's Discus Throw","Bronze"
"3027","Nina Apollonovna Romashkova-Ponomaryova",1960,"F",31,173,84,"Soviet Union","URS","Athletics Women's Discus Throw","Gold"
"3028","Fulgencia Romay Martnez",1968,"F",24,165,58,"Cuba","CUB","Athletics Women's 4 x 100 metres Relay","Silver"
"3029","Fulgencia Romay Martnez",1972,"F",28,165,58,"Cuba","CUB","Athletics Women's 4 x 100 metres Relay","Bronze"
"3030","Peter Kipchumba Rono",1988,"M",21,162,54,"Kenya","KEN","Athletics Men's 1,500 metres","Gold"
"3031","Martyn Joseph Rooney",2008,"M",21,198,81,"Great Britain","GBR","Athletics Men's 4 x 400 metres Relay","Bronze"
"3032","Ralph Waldo Rose",1904,"M",20,195,115,"United States","USA","Athletics Men's Shot Put","Gold"
"3033","Ralph Waldo Rose",1904,"M",20,195,115,"United States","USA","Athletics Men's Discus Throw","Silver"
"3034","Ralph Waldo Rose",1904,"M",20,195,115,"United States","USA","Athletics Men's Hammer Throw","Bronze"
"3035","Ralph Waldo Rose",1908,"M",24,195,115,"United States","USA","Athletics Men's Shot Put","Gold"
"3036","Ralph Waldo Rose",1912,"M",28,195,115,"United States","USA","Athletics Men's Shot Put","Silver"
"3037","Ralph Waldo Rose",1912,"M",28,195,115,"United States","USA","Athletics Men's Shot Put, Both Hands","Gold"
"3038","Heidemarie ""Heide"" Rosendahl (-Ecker)",1972,"F",25,174,69,"West Germany","FRG","Athletics Women's 4 x 100 metres Relay","Gold"
"3039","Heidemarie ""Heide"" Rosendahl (-Ecker)",1972,"F",25,174,69,"West Germany","FRG","Athletics Women's Long Jump","Gold"
"3040","Heidemarie ""Heide"" Rosendahl (-Ecker)",1972,"F",25,174,69,"West Germany","FRG","Athletics Women's Pentathlon","Silver"
