"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"3603","Igor Leonidovich Trandenkov",1992,"M",25,191,80,"Unified Team","EUN","Athletics Men's Pole Vault"
"3604","Igor Leonidovich Trandenkov",1996,"M",29,191,80,"Russia","RUS","Athletics Men's Pole Vault"
"3605","Marina Yevgenyevna Trandenkova (Krivosheina-)",1992,"F",25,170,60,"Unified Team","EUN","Athletics Women's 4 x 100 metres Relay"
"3606","John Treacy",1984,"M",27,175,59,"Ireland","IRL","Athletics Men's Marathon"
"3607","Leonard Francis ""Jimmy"" Tremeer",1908,"M",33,NA,NA,"Great Britain","GBR","Athletics Men's 400 metres Hurdles"
"3608","Otto-Paul Trieloff",1908,"M",22,NA,NA,"Germany","GER","Athletics Men's 1,600 metres Medley Relay"
"3609","De'Hashia Tonnek ""DeeDee"" Trotter",2004,"F",21,178,64,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"3610","De'Hashia Tonnek ""DeeDee"" Trotter",2012,"F",29,178,64,"United States","USA","Athletics Women's 400 metres"
"3611","De'Hashia Tonnek ""DeeDee"" Trotter",2012,"F",29,178,64,"United States","USA","Athletics Women's 4 x 400 metres Relay"
"3612","Herbert Lawrence ""Herb"" Trube",1908,"M",21,177,69,"United States","USA","Athletics Men's 3 mile, Team"
"3613","Konstantinos ""Kostas"" Tsiklitiras",1908,"M",19,189,81,"Greece","GRE","Athletics Men's Standing High Jump"
"3614","Konstantinos ""Kostas"" Tsiklitiras",1908,"M",19,189,81,"Greece","GRE","Athletics Men's Standing Long Jump"
"3615","Konstantinos ""Kostas"" Tsiklitiras",1912,"M",23,189,81,"Greece","GRE","Athletics Men's Standing High Jump"
"3616","Konstantinos ""Kostas"" Tsiklitiras",1912,"M",23,189,81,"Greece","GRE","Athletics Men's Standing Long Jump"
"3617","Athanasia Tsoumeleka",2004,"F",22,158,47,"Greece","GRE","Athletics Women's 20 kilometres Walk"
"3618","Kokichi Tsuburaya",1964,"M",24,163,54,"Japan","JPN","Athletics Men's Marathon"
"3619","Naoki Tsukahara",2008,"M",23,180,75,"Japan","JPN","Athletics Men's 4 x 100 metres Relay"
"3620","Viktor Serhiyovych Tsybulenko",1956,"M",26,188,92,"Soviet Union","URS","Athletics Men's Javelin Throw"
"3621","Viktor Serhiyovych Tsybulenko",1960,"M",30,188,92,"Soviet Union","URS","Athletics Men's Javelin Throw"
"3622","Pierre Alexandre Tuffri",1896,"M",19,NA,NA,"France","FRA","Athletics Men's Triple Jump"
"3623","Michael Scott ""Mike"" Tully",1984,"M",27,188,82,"United States","USA","Athletics Men's Pole Vault"
"3624","Derartu Tulu",1992,"F",20,160,45,"Ethiopia","ETH","Athletics Women's 10,000 metres"
"3625","Derartu Tulu",2000,"F",28,160,45,"Ethiopia","ETH","Athletics Women's 10,000 metres"
"3626","Derartu Tulu",2004,"F",32,160,45,"Ethiopia","ETH","Athletics Women's 10,000 metres"
"3627","Bodo Tmmler",1968,"M",24,188,72,"West Germany","FRG","Athletics Men's 1,500 metres"
"3628","Boniface Mucheru Tumuti",2016,"M",24,175,72,"Kenya","KEN","Athletics Men's 400 metres Hurdles"
"3629","Kaarlo Jalmari ""Kalle"" Tuominen",1936,"M",28,177,66,"Finland","FIN","Athletics Men's 3,000 metres Steeplechase"
"3630","Eshetu Tura",1980,"M",30,179,66,"Ethiopia","ETH","Athletics Men's 3,000 metres Steeplechase"
"3631","Kimberly ""Kim"" Turner (-McKenzie)",1984,"F",23,165,57,"United States","USA","Athletics Women's 100 metres Hurdles"
"3632","Vilho Immanuel ""Ville"" Tuulos",1920,"M",25,183,77,"Finland","FIN","Athletics Men's Triple Jump"
